,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,palo alto,37.44,-122.14,298.15,64,5,2.6,US,1602905783
318,pueblo nuevo,23.38,-105.38,288.32,61,66,3.05,MX,1602905784
319,san blas,21.52,-105.27,300.45,84,12,1.45,MX,1602905784
320,santa ana,33.75,-117.87,299.26,78,20,1.42,US,1602905721
321,tampico,22.22,-97.85,300.15,74,40,5.1,MX,1602905222
322,tenango del aire,19.17,-98.85,289.15,67,75,7.7,MX,1602905784
323,tianguistenco,19.18,-99.47,286.15,71,40,3.1,MX,1602905785
324,todos santos,23.45,-110.22,299.82,86,0,1.81,MX,1602905785
325,veracruz,19.33,-96.67,299.82,83,20,4.1,MX,1602905615
326,zacamulpa,19.36,-99.33,289.15,71,40,3.1,MX,1602905785
327,butterworth,5.4,100.36,304.15,79,20,2.72,MY,1602905785
328,port dickson,2.52,101.8,305.15,62,20,3.6,MY,1602905786
329,karibib,-21.93,15.83,293.79,30,56,4.2,NA,1602905786
330,keita,14.76,5.77,300.15,65,0,1,NE,1602905786
331,igboho,8.83,3.75,294.83,98,80,2.44,NG,1602905786
332,otukpo,7.19,8.13,295.53,99,98,2.74,NG,1602905787
333,rio blanco,18.83,-97.15,289.57,77,83,1.77,MX,1602905787
334,brummen,52.09,6.16,280.93,100,90,0.5,NL,1602905787
335,heerenveen,52.95,5.93,282.04,90,100,0.95,NL,1602905648
336,nunspeet,52.37,5.77,279.82,89,91,1.11,NL,1602905787
337,veenendaal,52.02,5.55,281.48,89,90,0.28,NL,1602905788
338,askim,59.58,11.16,278.71,100,0,1.5,NO,1602905788
339,gol,60.7,8.95,269.82,88,2,1.62,NO,1602905788
340,kragero,58.87,9.41,276.48,96,0,0.89,NO,1602905788
341,olden,61.84,6.81,280.37,96,37,0.45,NO,1602905788
342,sokna,60.24,9.92,275.93,98,3,0.45,NO,1602905789
343,gisborne,-38.65,178,288.15,52,60,1.34,NZ,1602905789
344,riverton,40.52,-111.94,285.93,34,1,3.6,US,1602905608
345,anton,8.4,-80.27,297.59,76,57,2.93,PA,1602905789
346,escobal,9.15,-79.96,300.15,88,62,2.1,PA,1602905790
347,nuevo vigia,9.24,-79.61,300.15,88,86,2.1,PA,1602905790
348,villa carmen,8.8,-79.87,300.15,88,82,2.1,PA,1602905790
349,el alto,-4.27,-81.21,290.84,86,30,6.43,PE,1602905790
350,nauta,-4.51,-73.58,295.7,95,50,0.52,PE,1602905790
351,santa maria,-29.68,-53.81,287.18,88,0,3.08,BR,1602905737
352,mataura,-46.19,168.86,286.48,61,76,0.89,NZ,1602905723
353,abucayan,9.93,123.91,305.15,62,75,2.1,PH,1602905791
354,alim,9.56,122.49,302.25,72,13,3.42,PH,1602905791
355,badlan,11.14,122.52,302.91,72,71,2.47,PH,1602905792
356,baleno,12.47,123.5,302.59,69,58,2.83,PH,1602905792
357,bangui,4.36,18.55,296.15,94,20,0.96,CF,1602905792
358,bilwang,10.88,124.47,302.25,72,43,2.78,PH,1602905793
359,bongabong,7.22,125.87,304.15,62,75,2.1,PH,1602905793
360,bulihan,14.27,121,302.59,79,75,3.6,PH,1602905793
361,cabangahan,9.08,122.95,304.15,66,75,2.1,PH,1602905793
362,calapi,11.94,125.02,302.5,81,85,1.42,PH,1602905793
363,canhandugan,11.13,124.78,301.47,74,46,0.87,PH,1602905794
364,casiguran,12.87,124.01,303.99,67,16,1.38,PH,1602905794
365,concepcion,-36.83,-73.05,285.15,87,60,2.1,CL,1602905613
366,damolog,10.77,124,305.15,62,75,2.1,PH,1602905794
367,diplahan,7.72,123.02,302.12,73,68,2.03,PH,1602905794
368,estefania,17.8,121.73,302.36,75,81,1.78,PH,1602905795
369,guadalupe,25.68,-100.25,291.48,82,40,2.6,MX,1602905795
370,hukay,13.85,120.7,302.22,73,65,2.36,PH,1602905795
371,jalaud,10.84,122.64,302.86,70,77,1.58,PH,1602905795
372,katangawan,6.17,125.22,303.15,62,40,3.1,PH,1602905796
373,laguitas,8.09,125.13,301.24,72,93,0.44,PH,1602905796
374,larap,14.3,122.65,302.5,75,96,2.47,PH,1602905797
375,limay,14.53,120.55,303.15,70,75,3.6,PH,1602905797
376,mabini,15.6,120.98,303.15,70,75,2.1,PH,1602905797
377,mailag,7.97,125.14,303.01,67,95,0.73,PH,1602905797
378,malitbog,8.53,124.88,301.48,82,74,1.34,PH,1602905798
379,maninihon,9.37,122.84,304.15,66,75,2.1,PH,1602905798
380,matiao,7.08,125.94,304.15,62,75,2.1,PH,1602905798
381,montalban,44.02,1.35,278.15,93,0,1.5,FR,1602905798
382,natividad,16.04,120.8,303.75,63,81,2.48,PH,1602905799
383,otavi,-19.65,17.33,293.55,23,38,5.58,NA,1602905799
384,pancol,10.87,119.42,298.66,90,100,3.42,PH,1602905799
385,pastrana,11.14,124.89,303.41,65,55,0.72,PH,1602905799
386,puncan,15.91,120.99,301.2,75,75,3.16,PH,1602905799
387,rizal,15.71,121.11,302.39,75,50,2.26,PH,1602905800
388,sampagar,7.51,124.96,301.61,72,97,1.53,PH,1602905800
